scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,iterations,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
26,True,0.0,-1.0,23,17.871206998825073,2,9,32,1.5547978577656243,1.2028232745769785,3,30,25,5
27,True,0.0,-1.0,86,69.3649971485138,8,3,44,1.9121642250009423,1.363591296584882,1,30,25,5
28,True,0.0,-1.0,8,19.18471384048462,0,8,52,4.482018293345885,3.297125579672697,6,30,25,5
29,True,0.0,-1.0,1,6.216965913772583,0,10,7,2.778450343571522,2.5577020888891346,6,30,25,5
30,False,3.999818280161653,3.999818280161653,101,20.74845266342163,10,3,18,2.4309814939961503,1.2768190496598764,1,30,25,5
31,True,0.0,-1.0,36,38.25096917152405,3,7,55,0.804552180627349,3.0181924423010926,0,30,25,5
32,True,0.0,-1.0,7,7.664247751235962,0,10,13,3.0750327296243776,2.13140666188441,2,30,25,5
33,True,0.0,-1.0,39,25.674545764923096,3,10,29,3.058210363660504,3.724311324882459,2,30,25,5
34,False,3.998550027013834,3.998550027013834,101,15.436365127563477,10,3,5,4.424796114217441,1.7282271628132428,0,30,25,5
35,False,3.988202395822198,3.988202395822198,101,17.41700029373169,10,3,23,2.563230002465088,3.805020552549438,0,30,25,5
36,True,0.0,-1.0,89,25.682698011398315,8,6,15,2.2920654233105076,3.681497210709634,5,30,25,5
37,False,4.000000368985686,4.000000368985686,101,61.95200300216675,10,4,44,3.4775092436111334,1.2069797086960674,3,30,25,5
38,True,0.0,-1.0,26,21.770514965057373,2,4,32,1.623811365792849,3.1611434992333023,1,30,25,5
39,True,0.0,-1.0,10,15.481080770492554,0,10,33,2.9270093279291984,1.4076226058658654,3,30,25,5
40,True,0.0,-1.0,10,21.157443046569824,0,7,45,3.6203673056084615,3.825763051703748,0,30,25,5
41,True,0.0,-1.0,34,42.655153036117554,3,8,58,3.955694407860197,1.3779122403646062,2,30,25,5
42,False,3.9928905905862355,3.9928905905862355,101,64.80732274055481,10,3,48,2.4749529788842355,3.5757937597341476,0,30,25,5
43,True,0.0,-1.0,17,22.505857706069946,1,7,41,0.6969889563754847,1.0600887606226506,1,30,25,5
44,True,0.0,-1.0,6,8.61994481086731,0,8,11,1.6615088364774786,2.2173121834633935,0,30,25,5
45,True,0.0,-1.0,8,12.277912139892578,0,10,37,2.8782101532659126,3.290950719405778,7,30,25,5
46,True,0.0,-1.0,9,20.680303812026978,0,7,55,0.8475205694528444,1.8177092677559132,1,30,25,5
47,True,0.0,-1.0,94,66.21966314315796,9,3,46,3.8915096770382354,2.3955416146884505,0,30,25,5
48,True,0.0,-1.0,93,40.44501829147339,9,4,26,3.18098070513203,2.54140163516203,0,30,25,5
49,False,4.000017227456412,4.000017227456412,101,39.30205702781677,10,3,25,3.1694776707637953,2.175850635892561,1,30,25,5
50,True,0.0,-1.0,10,17.104393243789673,0,9,49,4.251512005626121,2.643713380552675,2,30,25,5
51,True,0.0,-1.0,74,63.78596782684326,7,6,57,1.8821226235493307,1.7647199032430736,1,30,25,5
52,True,0.0,-1.0,46,31.47101402282715,4,10,39,3.0840183303588136,2.5586307375697857,7,30,25,5
