scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,crashes_found_count,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
27,True,0.0,-1.0,101,38.75851488113403,3,10,21,2.546996705996476,1.1582673362779068,0,30,25,5
28,True,0.0,-1.0,27,136.53902912139893,1,6,31,4.702827427508877,2.577411323995151,1,30,25,5
29,True,0.0,-1.0,1,2.238812208175659,1,10,7,2.778450343571522,2.5577020888891346,6,30,25,5
30,True,0.0,-1.0,95,38.762388944625854,3,10,40,2.468228899790424,3.829625694641612,5,30,25,5
31,True,0.0,-1.0,26,14.279958009719849,1,8,28,0.6874478390686501,3.857153545802851,1,30,25,5
32,False,4.011988640932422,4.011988640932422,7,8.02341890335083,0,4,45,1.5493225580276384,2.823352638562686,0,30,25,5
33,True,0.0,-1.0,30,13.102999210357666,1,9,35,1.409380060201604,2.548315855911661,3,30,25,5
34,False,4.000017642500288,4.000017642500288,101,37.543137073516846,0,5,43,0.989627806755089,3.0553858462175687,2,30,25,5
35,True,0.0,-1.0,101,46.07127594947815,3,9,16,3.2216428686870087,2.68729139194644,8,30,25,5
36,True,0.0,-1.0,89,38.5842022895813,3,8,57,3.5627333030087733,3.698402421988907,3,30,25,5
37,True,0.0,-1.0,101,42.08813428878784,1,10,52,4.51738654266016,1.636814608951226,9,30,25,5
38,True,0.0,-1.0,80,29.98836898803711,3,10,42,1.820613045556089,3.2245886212072303,0,30,25,5
39,True,0.0,-1.0,35,15.054540872573853,2,6,28,2.5846997698886325,3.801294721122601,5,30,25,5
40,True,0.0,-1.0,14,10.274951934814453,1,8,8,3.2855848623303854,2.495659192964566,1,30,25,5
41,True,0.0,-1.0,69,28.103758811950684,3,8,53,4.330064318738592,2.374737550759354,1,30,25,5
42,False,3.9935233091712834,3.9935233091712834,60,29.13555908203125,0,5,11,3.5250804186791527,1.843701351517025,1,30,25,5
43,True,0.0,-1.0,47,21.281932830810547,3,10,26,1.753848614835246,1.835602893338127,8,30,25,5
44,True,0.0,-1.0,6,6.5806190967559814,1,10,25,4.728388153902775,3.7802460782606806,4,30,25,5
45,True,0.0,-1.0,8,8.885096073150635,1,10,37,2.8782101532659126,3.290950719405778,7,30,25,5
